Title,Link,Snippet,Date Published,Keyword,Country,Date From,Date To,cosine_similarity,total_sum
Framing a mystery: Information subsidies and media coverage of ...,https://msbfile03.usc.edu/digitalmeasures/lbier/intellcont/PRR%20-%20Park%20Bier%20%20Palenchar-1.pdf,"Mar 25, 2014 ... treaty includes an initial sum of approximately $150,000–175,000 per deceased passenger. ... Similarly, China Daily was originally founded by the Chinese govern-.",,misinformation,China,25/3/14,26/3/14,0.46328673,18
Olympus Corporation Financial Statement Fraud Case Study: The ...,https://core.ac.uk/download/pdf/268110264.pdf,"Mar 29, 2014 ... They may also use the rationalization that “everyone here lies and cheats. ... Research in Accounting Regulation, 15, 151-166. 4 ... U.S. and China. Corporate ...",,misinformation,China,29/3/14,30/3/14,0.31336117,19
The Exclusion of Improperly Obtained Evidence at the International ...,https://digitalcommons.schulichlaw.dal.ca/cgi/viewcontent.cgi?article=1013&context=llm_theses,"Apr 24, 2014 ... Herein – at the point of operationalizing the Rome Statute – lies ... As a preliminary point, one might look to the Vienna. Convention on the Law of Treaties,40 a ...",,misinformation,China,23/4/14,24/4/14,0.38145384,20
The Exclusion of Improperly Obtained Evidence at the International ...,https://digitalcommons.schulichlaw.dal.ca/cgi/viewcontent.cgi?article=1013&context=llm_theses,"Apr 24, 2014 ... Herein – at the point of operationalizing the Rome Statute – lies ... As a preliminary point, one might look to the Vienna. Convention on the Law of Treaties,40 a ...",,misinformation,China,24/4/14,25/4/14,0.38145384,21
"Defamation, Invasion of Privacy, and the Press in the People's ...",https://escholarship.org/content/qt47j9n9s0/qt47j9n9s0.pdf?t=n4ovld,"Apr 29, 2014 ... or misrepresentation. 39 The increased incidence ... CRIMINAL LAW AND THE CRIMINAL PROCEDURE LAW OF CHINA 115, 131 (Jerome ... CHINESE L. 251 (1987). 1993]. Page ...",,misinformation,China,29/4/14,30/4/14,0.39189768,22
False Advertisement in Nutrition and Its Effects on Society,https://rucore.libraries.rutgers.edu/rutgers-lib/42871/PDF/1/,"May 11, 2014 ... (JP). Recently, Wal-Marts in china were forced to close over falsely labeled pork. ... might accuse a product of being in violation of federal law and FDA ...",,misinformation,China,11/5/14,12/5/14,0.35516694,23
“Economic Espionage and Trade Secret Theft: Are Our Laws ...,https://www.judiciary.senate.gov/imo/media/doc/05-13-14PassmanTestimony.pdf,"May 13, 2014 ... documents to a new job with the China branch of another North American company.28. Cultural and technological factors may heighten the insider threat in ...",,misinformation,China,12/5/14,13/5/14,0.30810234,24
“Economic Espionage and Trade Secret Theft: Are Our Laws ...,https://www.judiciary.senate.gov/imo/media/doc/05-13-14PassmanTestimony.pdf,"May 13, 2014 ... documents to a new job with the China branch of another North American company.28. Cultural and technological factors may heighten the insider threat in ...",,misinformation,China,13/5/14,14/5/14,0.30810234,25
Fraud risk management Developing a strategy for prevention ...,https://assets.kpmg.com/content/dam/kpmg/pdf/2014/05/fraud-risk-management-strategy-prevention-detection-response-O-201405.pdf,"May 18, 2014 ... Fraudulent financial reporting (i.e., the misrepresentation of financial information). ... The Anti-Money Laundering Law of the People's Republic of. China (the ...",,misinformation,China,17/5/14,18/5/14,0.38221538,26
Fraud risk management Developing a strategy for prevention ...,https://assets.kpmg.com/content/dam/kpmg/pdf/2014/05/fraud-risk-management-strategy-prevention-detection-response-O-201405.pdf,"May 18, 2014 ... Fraudulent financial reporting (i.e., the misrepresentation of financial information). ... The Anti-Money Laundering Law of the People's Republic of. China (the ...",,misinformation,China,18/5/14,19/5/14,0.38221538,27
Operation Twist-the-Truth: How the Federal Reserve Misrepresents ...,https://ciaotest.cc.columbia.edu/journals/cato/v34i2/f_0031471_25519.pdf,"May 27, 2014 ... I frequently rely on such research in identifying misinformation ... ing legislation authorizing U.S. Treasury notes (“greenbacks”), estab-.",,misinformation,China,27/5/14,28/5/14,0.41203228,28
States of defamation: the drive to decriminalize libel in Europe,https://www.etd.ceu.edu/2014/gulyas_orsolya.pdf,"Jun 9, 2014 ... Under the term „drive‟ basically an agenda to enforce international standards in national laws and legislation is understood. ... lies at the heart reform that is ...",,misinformation,China,8/6/14,9/6/14,0.32131785,29
RIGHT TO FREE SPEECH AND CENSORSHIP: A ...,https://www.jstor.org/stable/43953700,"Jul 1, 2014 ... The State of Western Australia [2006] WASCA 258 at para 4. Page 2. 176 Journal of the Indian Law Institute [Vol. 56: 2.",,misinformation,China,1/7/14,2/7/14,0.33147603,30
Report on Insurance Contract Law: Business Disclosure; Warranties ...,https://www.scotlawcom.gov.uk/index.php/download_file/view/1291/141/,"Jul 3, 2014 ... 5.76 The law on disclosure and misrepresentation was codified in the 1906 Act. Although the development of case law has in some instances signalled a.",,misinformation,China,2/7/14,3/7/14,0.3106969,31
Report on Insurance Contract Law: Business Disclosure; Warranties ...,https://www.scotlawcom.gov.uk/index.php/download_file/view/1291/141/,"Jul 3, 2014 ... 5.76 The law on disclosure and misrepresentation was codified in the 1906 Act. Although the development of case law has in some instances signalled a.",,misinformation,China,3/7/14,4/7/14,0.3106969,32
"Disenchanting Trust: Instrumental Reason, Algorithmic Governance ...",https://www.cogitatiopress.com/mediaandcommunication/article/download/3806/2042,"Jul 20, 2014 ... list administered by the Chinese Supreme People's Court. ... logical modernization lies in the encroachment of tech-.",,misinformation,China,19/7/14,20/7/14,0.34203905,33
"Disenchanting Trust: Instrumental Reason, Algorithmic Governance ...",https://www.cogitatiopress.com/mediaandcommunication/article/download/3806/2042,"Jul 20, 2014 ... list administered by the Chinese Supreme People's Court. ... logical modernization lies in the encroachment of tech-.",,misinformation,China,20/7/14,21/7/14,0.34203905,34
I FREEDOM OF INFORMATION ACT SOURCE BOOK ...,https://www.justice.gov/sites/default/files/oip/legacy/2014/07/23/Sourcebk1974Final.pdf,"Jul 23, 2014 ... ... legislation to clarify and strengthen the law. The ... misinformation, and secret sins with secret ... China history for which funds from th!' Endowment ...",,misinformation,China,23/7/14,24/7/14,0.3040903,35
Disclaimer,https://www.nps.gov/olym/learn/historyculture/upload/resized_Wray_2014_Queets-Ethnohistory_Redacted.pdf,"Aug 10, 2014 ... 1856 Treaty of Olympia (or Treaty with the Quinault, 18551). ... on ships traveling to China, Japan, and Alaska ... misinformation continued. . . . Considerable ...",,misinformation,China,9/8/14,10/8/14,0.36014885,36
Disclaimer,https://www.nps.gov/olym/learn/historyculture/upload/resized_Wray_2014_Queets-Ethnohistory_Redacted.pdf,"Aug 10, 2014 ... 1856 Treaty of Olympia (or Treaty with the Quinault, 18551). ... on ships traveling to China, Japan, and Alaska ... misinformation continued. . . . Considerable ...",,misinformation,China,10/8/14,11/8/14,0.36014885,37
Politics and the Limits of Responsibility to Protect',https://researchportal.port.ac.uk/files/2814605/LEEp_2014_cright_RAF_APR_Politics_and_the_limits_of_responsibility_to_protect.pdf,"Aug 29, 2014 ... Herein lies the ... China maintaining a strong non-interventionist stance. ... government's legal claim: a doctrine is neither a legal article nor a legal rule.",,misinformation,China,28/8/14,29/8/14,0.33164656,38
Politics and the Limits of Responsibility to Protect',https://researchportal.port.ac.uk/files/2814605/LEEp_2014_cright_RAF_APR_Politics_and_the_limits_of_responsibility_to_protect.pdf,"Aug 29, 2014 ... Herein lies the ... China maintaining a strong non-interventionist stance. ... government's legal claim: a doctrine is neither a legal article nor a legal rule.",,misinformation,China,29/8/14,30/8/14,0.33164656,39
Raising Climate Literacy Through Addressing Misinformation: Case ...,https://apps.weber.edu/wsuimages/geography/Cook%2C%20Bedford%20and%20Mandia%20Case%20studies%20in%20ABL%20JGE%202014.pdf,"Sep 2, 2014 ... A number of studies have sought to measure the scientific consensus, with surveys of the climate science community finding around 97% agreement among publishing ...",,misinformation,China,1/9/14,2/9/14,0.49733898,40
Raising Climate Literacy Through Addressing Misinformation: Case ...,https://apps.weber.edu/wsuimages/geography/Cook%2C%20Bedford%20and%20Mandia%20Case%20studies%20in%20ABL%20JGE%202014.pdf,"Sep 2, 2014 ... A number of studies have sought to measure the scientific consensus, with surveys of the climate science community finding around 97% agreement among publishing ...",,misinformation,China,2/9/14,3/9/14,0.49733898,41
Information Frictions and the Law of One Price: “When the States ...,https://www.wto.org/english/res_e/reser_e/ersd201412_e.pdf,"Sep 16, 2014 ... Journal of Economic Literature. 39(4), 1177–1203. Rauch, J. E. and V. Trindade: 2002, 'Ethnic Chinese Networks In International Trade'. The Review of. Economics ...",,misinformation,China,15/9/14,16/9/14,0.3638835,42
Information Frictions and the Law of One Price: “When the States ...,https://www.wto.org/english/res_e/reser_e/ersd201412_e.pdf,"Sep 16, 2014 ... Journal of Economic Literature. 39(4), 1177–1203. Rauch, J. E. and V. Trindade: 2002, 'Ethnic Chinese Networks In International Trade'. The Review of. Economics ...",,misinformation,China,16/9/14,17/9/14,0.3638835,43
Digital Market Manipulation,https://www.gwlr.org/wp-content/uploads/2014/10/Calo_82_41.pdf,"Oct 4, 2014 ... In 2010, Stanford Law School sent a delegation to Beijing, China, to discuss Internet law, and I was there to cover consumer privacy. I gave a fairly ...",,misinformation,China,4/10/14,5/10/14,0.34024978,44
FAKE NEWS A ROADMAP,https://stratcomcoe.org/cuploads/pfiles/fake_news_book_final_full_version.pdf,"Oct 9, 2014 ... He, moreover, suggested that judgment of media outlets was not a question of factual accuracy, but of alignment with a set of views. 'Fake news' and 'post-truth ...",,misinformation,China,8/10/14,9/10/14,0.40756133,45
FAKE NEWS A ROADMAP,https://stratcomcoe.org/cuploads/pfiles/fake_news_book_final_full_version.pdf,"Oct 9, 2014 ... He, moreover, suggested that judgment of media outlets was not a question of factual accuracy, but of alignment with a set of views. 'Fake news' and 'post-truth ...",,misinformation,China,9/10/14,10/10/14,0.40756133,46
Understanding the Misinterpretations & the Fallacy of the Adam ...,https://cupola.gettysburg.edu/cgi/viewcontent.cgi?article=1019&context=ger,"Oct 18, 2014 ... Adam Smith is one of the greatest victims of this misinterpretation and misrepresentation. Smith's reputation as the father of modern economics will most likely ...",,misinformation,China,18/10/14,19/10/14,0.45813417,47
"ACCOUNTABILITY, TRANSPARENCY, PARTICIPATION, AND ...",https://carnegieendowment.org/files/new_development_consensus.pdf,"Oct 20, 2014 ... Much more work lies ... widening campaign for freedom of information that in many places produced new laws and regulation guaranteeing citizens' right of access ...",,misinformation,China,19/10/14,20/10/14,0.33495617,48
"ACCOUNTABILITY, TRANSPARENCY, PARTICIPATION, AND ...",https://carnegieendowment.org/files/new_development_consensus.pdf,"Oct 20, 2014 ... Much more work lies ... widening campaign for freedom of information that in many places produced new laws and regulation guaranteeing citizens' right of access ...",,misinformation,China,20/10/14,21/10/14,0.33495617,49
Corruption and Ideology in Autocracies,https://lwantche.scholar.princeton.edu/document/24,"Oct 22, 2014 ... Sun, Yan. 2001. “The Politics of Conceptualizing Corruption Reform in China,” 35 Crime,. Law and Social Change 245–270. —— ...",,misinformation,China,21/10/14,22/10/14,0.3072272,50
The credibility of CSR (corporate social responsibility) reports in ...,https://www.sciencedirect.com/science/article/am/pii/S0959652616002377,"Oct 22, 2014 ... For China and South Africa, non-financial disclosure increased when laws were passed and this regulation had a positive effect on companies' financial ...",,misinformation,China,21/10/14,22/10/14,0.3395034,51
Corruption and Ideology in Autocracies,https://lwantche.scholar.princeton.edu/document/24,"Oct 22, 2014 ... Sun, Yan. 2001. “The Politics of Conceptualizing Corruption Reform in China,” 35 Crime,. Law and Social Change 245–270. —— ...",,misinformation,China,22/10/14,23/10/14,0.3072272,52
The credibility of CSR (corporate social responsibility) reports in ...,https://www.sciencedirect.com/science/article/am/pii/S0959652616002377,"Oct 22, 2014 ... For China and South Africa, non-financial disclosure increased when laws were passed and this regulation had a positive effect on companies' financial ...",,misinformation,China,22/10/14,23/10/14,0.3395034,53
Corruption and Collective Action,https://www.shareweb.ch/site/DDLGN/Documents/U4%202015%20Corruption%20and%20CollectiveAction.pdf,"Nov 12, 2014 ... ... lies in the inappropriate theoretical foundations ... Legal Determinants of External Finance. ... Policy. Sciences , 29 (3), 243-270. Schramm, M. and Taube, M. ( ...",,misinformation,China,11/11/14,12/11/14,0.30620596,54
Corruption and Collective Action,https://www.shareweb.ch/site/DDLGN/Documents/U4%202015%20Corruption%20and%20CollectiveAction.pdf,"Nov 12, 2014 ... ... lies in the inappropriate theoretical foundations ... Legal Determinants of External Finance. ... Policy. Sciences , 29 (3), 243-270. Schramm, M. and Taube, M. ( ...",,misinformation,China,12/11/14,13/11/14,0.30620596,55
Measuring and circumventing Internet censorship,https://www.diva-portal.org/smash/get/diva2:758124/FULLTEXT01.pdf,"Nov 25, 2014 ... In particular, we 1) analyse how the Great Firewall of. China is blocking the Tor network by using active probing techniques as well as side channel ...",,misinformation,China,24/11/14,25/11/14,0.34155688,56
Measuring and circumventing Internet censorship,https://www.diva-portal.org/smash/get/diva2:758124/FULLTEXT01.pdf,"Nov 25, 2014 ... In particular, we 1) analyse how the Great Firewall of. China is blocking the Tor network by using active probing techniques as well as side channel ...",,misinformation,China,25/11/14,26/11/14,0.34155688,57
The Ethics of Government Whistleblowing,https://www.jstor.org/stable/24332319,"Dec 3, 2014 ... Stone, ""WikiLeaks, the Proposed SHIELD. Act, and the First Amendment,"" Journal of National Security Law and Policy 5 (2011):. 105-18; Mary-Rose Papandrea, ""The ...",,misinformation,China,3/12/14,4/12/14,0.4412935,58
Free Speech 2014,https://humanrights.gov.au/sites/default/files/document/publication/free-speech-report2014.pdf,"Dec 11, 2014 ... The answer lies ... China, is the globalisation of the media market. ... We have however implemented a number of our treaty commitments in legislation such as the ...",,misinformation,China,10/12/14,11/12/14,0.3540897,59
NAC Redacted Disciplinary Decision 2009019108901,https://www.finra.org/sites/default/files/Scholander%20and%20%20Harris%202009019108901%20Final%20NAC%20Decision%2012-29-14_0_0_0_0.pdf,"Dec 29, 2014 ... Likewise, a $6,075.46 check that cleared on January 27, 2010, paid Scholander for expenses he incurred in connection with the China trip. ... Regulation v. Field, ...",,misinformation,China,28/12/14,29/12/14,0.32689962,60
NAC Redacted Disciplinary Decision 2009019108901,https://www.finra.org/sites/default/files/Scholander%20and%20%20Harris%202009019108901%20Final%20NAC%20Decision%2012-29-14_0_0_0_0.pdf,"Dec 29, 2014 ... Likewise, a $6,075.46 check that cleared on January 27, 2010, paid Scholander for expenses he incurred in connection with the China trip. ... Regulation v. Field, ...",,misinformation,China,29/12/14,30/12/14,0.32689962,61
Anonymity as a Legal Right: Where and Why It Matters,https://scholarship.law.unc.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1272&context=ncjolt,"Jan 1, 2015 ... html. 12 Philippa Warr, China Cracks Down on Internet Anonymity, WIRED.CO.UK,. (Dec. 28, ...",,misinformation,China,31/12/14,1/1/15,0.3105733,62
Anonymity as a Legal Right: Where and Why It Matters,https://scholarship.law.unc.edu/cgi/viewcontent.cgi?referer=&httpsredir=1&article=1272&context=ncjolt,"Jan 1, 2015 ... html. 12 Philippa Warr, China Cracks Down on Internet Anonymity, WIRED.CO.UK,. (Dec. 28, ...",,misinformation,China,1/1/15,2/1/15,0.3105733,63
Addressing Issues of Corruption ln Commercial and lnvestment ...,https://www.shearman.com/-/media/files/perspectives/2018/12/20151001_yb_the_impact_of_corruption_on_gateway_issues.pdf?la=en&hash=F3E9E9068B4A87E3EDB3FF0982A70352796CB168,"Jan 10, 2015 ... depending on whether or not the claim is brought in commercial or in investment treaty arbitration. L CONTRACT v TREATY: VARYING BASES FOR JURISDICTION. AND ...",,misinformation,China,9/1/15,10/1/15,0.3288577,64
Addressing Issues of Corruption ln Commercial and lnvestment ...,https://www.shearman.com/-/media/files/perspectives/2018/12/20151001_yb_the_impact_of_corruption_on_gateway_issues.pdf?la=en&hash=F3E9E9068B4A87E3EDB3FF0982A70352796CB168,"Jan 10, 2015 ... depending on whether or not the claim is brought in commercial or in investment treaty arbitration. L CONTRACT v TREATY: VARYING BASES FOR JURISDICTION. AND ...",,misinformation,China,10/1/15,11/1/15,0.3288577,65
Administration Promotes (a K J/^C S C IC O New Post o a r d o f T ...,https://services.library.drexel.edu/static_files/triangle/Drexel-Triangle_1966-10-07.pdf,"Jan 11, 2015 ... With China's internal problems, how ever, in ... Drexel's new humor magazine has encountered its first legal difficulty; copyright laws. ... tion lies in the hot ...",,misinformation,China,11/1/15,12/1/15,0.3187308,66
The CAMPAIGN ISSUE,https://givingto.msu.edu/media/stories-archive/pdf/Developments_Winter2015.pdf,"Jan 13, 2015 ... Another cornerstone of a great university lies ... to China. From interns placed at Dow Chemical ... The College of Law will translate MSU's strengths into exciting ...",,misinformation,China,13/1/15,14/1/15,0.3244962,67
The 2015 Policy Address,https://www.policyaddress.gov.hk/2015/eng/pdf/PA2015.pdf,"Jan 16, 2015 ... Provided we act in accordance with the law, capitalise on our ... of China, and they will remain unchanged for 50 years. ... The difference lies in the need for ...",,misinformation,China,16/1/15,17/1/15,0.37582722,68
ANNEX I IN CONFIDENCE - COMMERCIALLY SENSITIVE - Ministry ...,https://www.transport.govt.nz/assets/Uploads/Report/NZ-CX-Full-Report-Redacted-1.pdf,"Feb 15, 2015 ... In the case of Hong Kong, there is no equivalent competition legislation. 30. Cathay Pacific is partly owned by the Swire Group and partly by Air China. We do ...",,misinformation,China,14/2/15,15/2/15,0.30415633,69
ANNEX I IN CONFIDENCE - COMMERCIALLY SENSITIVE - Ministry ...,https://www.transport.govt.nz/assets/Uploads/Report/NZ-CX-Full-Report-Redacted-1.pdf,"Feb 15, 2015 ... In the case of Hong Kong, there is no equivalent competition legislation. 30. Cathay Pacific is partly owned by the Swire Group and partly by Air China. We do ...",,misinformation,China,15/2/15,16/2/15,0.30415633,70
"Winters, Kevin (2015) Indirect and regulatory expropriation in ...",https://theses.gla.ac.uk/6177/1/2015wintersllm.pdf,"Mar 14, 2015 ... This practice is also reflected in Chinese investment treaties: Neither contracting Party shall expropriate, nationalize or take other similar measures ( ...",,misinformation,China,13/3/15,14/3/15,0.30048046,71
"Analysis, War, and Decision: Why Intelligence Failures Are inevitable",https://www.jstor.org/stable/2009967,"Mar 25, 2015 ... As in operational evaluation, the problem lies more in data mongering than in data collecting. ... by legislation. Intelligence consumers are ... China to be.",,misinformation,China,25/3/15,26/3/15,0.32813308,72
U.S Climate Change Policy,https://www.europarl.europa.eu/RegData/etudes/STUD/2015/536321/IPOL_IDA(2015)536321_EN.pdf,"Apr 2, 2015 ... President Obama's national climate strategy is based on regulation-making through the federal Environment Protection Agency (EPA) in order to circumvent the ...",,misinformation,China,1/4/15,2/4/15,0.30763015,73
The Truth About North Korean Media,https://diginole.lib.fsu.edu/islandora/object/fsu:252747/datastream/PDF/view,"Apr 2, 2015 ... Treaty. • 1993 1st Missile Test. • 1994 Agreed Framework. • 2003 Withdrew from Treaty ... cult of personality, misinformation supporting the regime, and the.",,misinformation,China,2/4/15,3/4/15,0.30132583,74
Political Economy of Crony Capitalism: Credible Commitments ...,https://ostromworkshop.indiana.edu/pdf/seriespapers/2015s_c/Razo_paper.pdf,"Apr 13, 2015 ... On the theoretical side, the main argument in favor of further scrutiny of infor- mal institutions lies with the fact that dictators typically have more ...",,misinformation,China,12/4/15,13/4/15,0.30093905,75
Political Economy of Crony Capitalism: Credible Commitments ...,https://ostromworkshop.indiana.edu/pdf/seriespapers/2015s_c/Razo_paper.pdf,"Apr 13, 2015 ... On the theoretical side, the main argument in favor of further scrutiny of infor- mal institutions lies with the fact that dictators typically have more ...",,misinformation,China,13/4/15,14/4/15,0.30093905,76
Vietnam's One-or-Two-Child Policy in Action,https://www.jstor.org/stable/2137414,"Apr 27, 2015 ... in Vietnam are discussed. Vietnamese innovations and Chinese ... The Southern province, Quang Nam-Da Nang, lies ... 2 Actually, China's 1950 Marriage and. Family ...",,misinformation,China,27/4/15,28/4/15,0.3352966,77
"Contractual Excuse Under the CISG: Impediment, Hardship, and the ...",https://digitalcommons.pace.edu/cgi/viewcontent.cgi?article=1351&context=pilr,"Apr 29, 2015 ... independent of the frameworks provided by the civil law, com- mon law, or international legal instruments. ... lies beyond its control. ... (China) (http://cisgw3.",,misinformation,China,28/4/15,29/4/15,0.32721618,78
"Contractual Excuse Under the CISG: Impediment, Hardship, and the ...",https://digitalcommons.pace.edu/cgi/viewcontent.cgi?article=1351&context=pilr,"Apr 29, 2015 ... independent of the frameworks provided by the civil law, com- mon law, or international legal instruments. ... lies beyond its control. ... (China) (http://cisgw3.",,misinformation,China,29/4/15,30/4/15,0.32721618,79
Understanding and Defending Against Russia's Malign and ...,https://www.rand.org/content/dam/rand/pubs/research_reports/RR3100/RR3160/RAND_RR3160.pdf,"May 12, 2015 ... combatting misinformation requires recognition of and general agreement regarding ... Government regulation of the ... China's Great Firewall, Princeton,. N.J. ...",,misinformation,China,11/5/15,12/5/15,0.30074453,80
Scandal-Driven Regulation of China's Stock Market: Dynamics ...,https://core.ac.uk/download/pdf/79576457.pdf,"May 15, 2015 ... compensation cases on misrepresentation in the Chinese stock market, said more than ... China Politics and Law ... would adopt stricter measures against ...",,misinformation,China,14/5/15,15/5/15,0.38689542,81
Scandal-Driven Regulation of China's Stock Market: Dynamics ...,https://core.ac.uk/download/pdf/79576457.pdf,"May 15, 2015 ... compensation cases on misrepresentation in the Chinese stock market, said more than ... China Politics and Law ... would adopt stricter measures against ...",,misinformation,China,15/5/15,16/5/15,0.38689542,82
THE STATE OF WHISTLEBLOWER & JOURNALIST PROTECTIONS ...,https://www.ohchr.org/Documents/Issues/Opinion/Protection/AmericanUniversitySchool.pdf,"May 18, 2015 ... Furthermore, China has a Freedom of Information Act (Order of the State. Council, No. 492), however, which seeks to safeguard “the legal access to government ...",,misinformation,China,17/5/15,18/5/15,0.3432082,83
